cellID	geneID	regionID	x	y	z	seeds	intensity	spot_id
69	Ash2l	91	55.0645	25.1673	8.0000	3	1414	2158
17	Ash2l	42	46.2531	46.0083	20.0000	3	547	74369
42	Col1a1	20	35.5523	60.1450	20.0000	4	867	76918
111	Gmpr	220	143.7227	20.7782	8.0000	4	1639	27296
40	Wnt2	49	64.9662	174.1362	20.0000	3	550	100042
280	Vcam1	122	216.0487	130.3016	8.0000	4	429	71792
114	Suz12	204	76.3707	200.3826	8.0000	3	1727	61277
45	Hand2	48	64.0859	75.8759	20.0000	4	691	83622
221	Meis2	258	168.0947	53.0332	8.0000	3	1716	42277
42	Hand1	122	85.8364	192.0653	20.0000	4	410	83302
57	Rgl1	334	52.5192	104.4868	8.0000	4	354	56115
42	Irx2	30	60.0966	42.3304	20.0000	4	412	85110
111	Col4a1	369	182.1633	111.4848	8.0000	3	438	11481
78	Bmper	24	141.0949	45.3552	20.0000	4	1928	76037
42	Nebl	180	151.1503	61.8569	20.0000	3	1938	89161
42	Myh9	111	124.1036	218.2272	20.0000	4	391	88578
238	Gypc	26	182.6899	56.6160	8.0000	3	1905	28128
111	Cdh2	71	166.5453	86.6556	8.0000	3	232	7102
54	Podxl	395	67.7414	180.2198	20.0000	4	618	91268
128	Wnt5a	98	83.3573	218.6353	8.0000	4	647	72939
185	Bmper	2	150.7011	69.5122	8.0000	3	848	5958
110	Kmt2d	185	73.6243	86.3937	8.0000	3	1456	36673
53	Plvap	82	66.3820	81.3743	20.0000	4	523	90809
81	Wnt5b	12	149.1710	45.0566	20.0000	4	1703	100226
247	Gata5	497	193.8964	187.7608	8.0000	4	1150	25991
256	Col1a2	98	196.7488	63.7385	8.0000	3	2021	10404
39	Tinagl1	80	36.3682	166.4128	8.0000	3	236	67240
121	Tdo2	37	72.7535	73.7677	8.0000	4	494	64918
111	Col4a1	1291	119.5269	145.7257	8.0000	4	629	12403
245	Cdh2	593	195.0234	139.5112	8.0000	4	527	7624
47	Kdr	9	59.2945	65.9761	20.0000	3	343	85794
26	Ldhb	95	58.5432	48.7377	20.0000	4	1736	86741
111	Gypc	57	126.4595	86.7767	8.0000	3	335	28159
111	Meis2	394	211.1731	86.4447	8.0000	4	717	42413
